genre,author,book_title,filename,processing_date,paragraph_num,text_content,paragraph_length,sentence_count,word_count,avg_sentence_length,avg_word_length,type_token_ratio,punctuation_ratio,capitalization_ratio,function_word_ratio,content_word_ratio,syllable_count,flesch_reading_ease,gunning_fog_index,smog_index
Science Fiction,Unknown Author,scf(1),scf(1).pdf,2025-08-16T19:11:00.470018,1,Complete Table of Contents Foreword Prologue 1. Concerning Hobbits 2. Concerning Pipe -weed 3. Of the Ordering of the Shire 4. Of the Finding of the Ring note on the shire records Book I Chapter 1 A Long -expected Party Chapter 2 The Shadow of the Past Chapter 3 Three is Company Chapter 4 A Short Cut to Mushrooms Chapter 5 A Conspiracy Unmasked Chapter 6 The Old Forest Chapter 7 In the House of Tom Bombadil Chapter 8 Fog on the Barrow -Downs Chapter 9,455,5,86,17.2,4.255813953488372,0.6627906976744186,0.008791208791208791,0.11208791208791209,0.27906976744186046,0.7209302325581395,125,66.41188372093025,11.066046511627908,26.12246021550569
Science Fiction,Unknown Author,scf(1),scf(1).pdf,2025-08-16T19:11:00.470018,2,At the Sign of The Prancing Pony Chapter 10 Strider Chapter 11 A Knife in the Dark Chapter 12 Flight to the Ford Book II Chapter 1 Many Meetings Chapter 2 The Council of Elrond Chapter 3 The Ring Goes South Chapter 4 A Journey in the Dark Chapter 5 The Bridge of Khazad -dym Chapter 6 Lothlurien Chapter 7 The Mirror of Galadriel Chapter 8 Farewell to Lurien Chapter 9 The Great River Chapter 10 The Breaking of the Fellowship Book III Chapter 1 The Departure of Boromir Chapter 2 The Riders of Rohan Chapter 3 The Uruk -Hai Chapter 4 Treebeard Chapter 5 The White Rider Chapter 6 The King of the Golden Hall Chapter 7 Helms Deep Chapter 8 The Road to Isengard Chapter 9 Flotsam and Jetsam Chapter 10 The Voice of Saruman Chapter 11 The Palantnr Book IV C hapter 1 The Tam ing of Smjagol Chapter 2 The Passage of the Marshes Chapter 3 The Black Gate is Closed Chapter 4 Of Herbs and Stewed Rabbit Chapter 5 The Window on the West Chapter 6 The Forbidden Pool Chapter 7 Journey to the Cro ss-roads Chapter 8 The Stairs of Cirith Ungol Chapter 9 Shelobs Lair Chapter 10 The Choices of Master Samwise Book V Chapter 1 Minas Tirith Chapter 2,1137,5,218,43.4,4.220183486238532,0.4954128440366973,0.0,0.1310466138962181,0.26146788990825687,0.7385321100917431,310,42.278247706422036,19.091376146788992,26.12246021550569
Science Fiction,Unknown Author,scf(1),scf(1).pdf,2025-08-16T19:11:00.470018,3,"The Passing of the Grey Company Chapter 3 The Muster of Rohan Chapter 4 The Siege of Gondor Chapter 5 The Ride of the Rohirrim Chapter 6 The Battle of the Pelennor Fields Chapter 7 The Pyre of Denethor Chapter 8 The Houses of Healing Chapter 9 The Last Debate Chapter 10 The Black Gate Opens Book VI Chapter 1 The Tower of Cirith Ungo Chapter 2 The Land of Shadow Chapter 3 Mount Doom Chapter 4 The Field of Cormallen Chapter 5 The Steward and the King Chapter 6 Many Pa rtings Chapter 7 Homeward Bound Chapter 8 The Scouring of the Shire Chapter 9 The Grey Havens Foreword This tale grew in the telling, until it became a history of the Great War of the Ring and included many glimpses of the yet more ancient history that preceded it. It was begun soon after The Hobbit was written and before its publication in 1937; but I did not go on with this sequel, for I wished first to complete and set in order the mythology and legends of the Elder Days, which had then been taking shape for some years. I desired to do this for my own satisfaction, and I had little hope that other people would be interested in this work, especially since it was primarily linguistic in inspiration and was beg un in order to provide the necessary background of history for Elvish tongues. When those whose advice and opinion I sought corrected little hope to no hope, I went back to the sequel, encouraged by requests from readers for more information co ncerning hobbits and their adventures.",1475,4,273,68.25,4.362637362637362,0.6007326007326007,0.008135593220338983,0.06305084745762712,0.27472527472527475,0.7252747252747253,401,13.295315934065968,31.25604395604396,80.25117470951491
Science Fiction,Unknown Author,scf(1),scf(1).pdf,2025-08-16T19:11:00.470018,4,"But the story was drawn irresistibly towards the older world, and became an account, as it were, of its end and passing away before its beginning and middle had been told. The process had begun in the writing of The Hobbit, in which there were already some references to the older matter: Elrond, Gondolin, the High -elves, and the orcs, as well as glimpses that had arisen unbidden of things higher or deeper or darker than its surface: Durin, Moria, G andalf, the Necromancer, the Ring. The discovery of the significance of these glimpses and of their relation to the ancient histories revealed the Third Age and its culmination in the War of the Ring. Those who had asked for more informatio n about hobbits eventually got it, but they had to wait a long time; for the composition of The Lord of the Rings went on at intervals during the years 1936 to 1949, a period in which I had many duties that I did not neglect, and many other interests as a learner and teacher that often absorbed me. The delay was, of course, also increased by the outbreak of war in 1939, by the end of which year the tale had not yet reached the end of Book One.",1142,5,212,42.4,4.268867924528302,0.6179245283018868,0.02276707530647986,0.02276707530647986,0.32547169811320753,0.6745283018867925,307,41.28862264150945,20.9222641509434,56.78027383617994
Science Fiction,Unknown Author,scf(1),scf(1).pdf,2025-08-16T19:11:00.470018,5,"In spite of the darkness of the next five years I found that the story could not now be wholly abandoned, and I plodded on, mostly by night, till I stood by Balins tomb in Moria. There I halted for a long while. It was almost a year later when I went on and so came to Lothlurien and the Great Rive r late in 1941. In the next year I wrote the first drafts of the matter that now stands as Book Three, and the beginnings of chapters I and III of Book Five; and there as the beacons flared in Anurien and Thjoden came to Harrowdale I stopped. Foresi ght had failed and there was no time for thought.",598,5,121,24.2,3.8677685950413223,0.6446280991735537,0.016722408026755852,0.046822742474916385,0.30578512396694213,0.6942148760330579,151,76.69679338842978,11.663471074380166,18.458006810337125
Science Fiction,Unknown Author,scf(1),scf(1).pdf,2025-08-16T19:11:00.470018,6,"It was during 1944 that, leaving the loose ends and perplexities of a war which it was my task to conduct, or at least to report, 1 forced myself to tackle the journey of Frodo to Mordor. These c hapters, eventually to become Book Four, were written and sent out as a serial to my son, Christopher, then in South Africa with the RAF. Nonetheless it took another five years before the tale was brought to its present end; in that time I changed my house, my chair, and my college, and the days though less dark were no less laborious. Then when the end had at last been reached the whole story had to be revised, and indeed largely re -written backwards. And it had to be typed, and re-typed: by me; the cost of professional typing by the ten -fingered was beyond my means.",772,5,147,29.2,4.122448979591836,0.6870748299319728,0.025906735751295335,0.02072538860103627,0.2585034013605442,0.7414965986394557,198,63.04297959183674,14.753197278911564,31.232095818951397
Science Fiction,Unknown Author,scf(1),scf(1).pdf,2025-08-16T19:11:00.470018,7,"The Lord of the Rings has been read by many people since it finally appeared in print; and I should like to say something here with reference to the many opi nions or guesses that I have received or have read concerning the motives and meaning of the tale. The prime motive was the desire of a tale-teller to try his hand at a really long story that would hold the attention of readers, amuse them, d elight them, and at times maybe excite them or deeply move them. As a guide I had only my own feelings for what is appealing or moving, and for many the guide was inevitably often at fault. Some who have read the book, or at any rate have reviewed it, have found it boring, absurd, or contemptible; and I have no cause to complain, since I have similar opinions of their works, or of the kinds of writing that they evidently prefer.",833,5,160,31.8,4.1125,0.63125,0.01920768307322929,0.013205282112845138,0.2875,0.7125,220,58.030000000000015,16.55,41.45136702584281
Science Fiction,Unknown Author,scf(1),scf(1).pdf,2025-08-16T19:11:00.470018,8,"But even from the points of view of many who have enjoyed my story t here is much that fails to please. It is perhaps not possible in a long tale to please everybody at all points, nor to displease everybody at the same points; for I find from the letters that I have received that the passages or chapters that are to so me a blemish are all by others specially approved. The most critical reader of all, myself, now finds many defects, minor and major, but being fortunately under no obligation either to review the book or to write it again, he will pass over these in silence, except one that has been noted by others: the book is too short. As for any inner meaning or message, it has in the intention of the author none. It is neither allegorical nor topical.",765,5,145,29.0,4.179310344827586,0.6758620689655173,0.0196078431372549,0.009150326797385621,0.2482758620689655,0.7517241379310344,210,54.87586206896552,14.910344827586208,33.78691362067425
Science Fiction,Unknown Author,scf(1),scf(1).pdf,2025-08-16T19:11:00.470018,9,"As the story grew it put down roots (into the past) and threw out unexpected branches: but its main theme was settled from the outset by the inevitable choice of the Ring as the link between it and The Hobbit. The crucial chapter, The Shadow of the Past, is one of the oldest parts of the tale. It was written long before the foreshadow of 1939 had yet become a threat of inevitable disaster, and from that point the story would have developed along essentially the same lines, if that disaster had been averted. Its sources are things long before in mind, or in some cases already written, and little or nothing in it was modified by the war that began in 1939 or its sequels. The real war does not resemble the legendary war in its process or its conclusion.",760,5,141,28.2,4.297872340425532,0.6312056737588653,0.015789473684210527,0.014473684210526316,0.2907801418439716,0.7092198581560284,200,58.21200000000002,14.967943262411348,36.34173142239711
Science Fiction,Unknown Author,scf(1),scf(1).pdf,2025-08-16T19:11:00.470018,10,"If it had inspired or directed t he development of the legend, then certainly the Ring would have been seized and used against Sauron; he would not have been annihilated but enslaved, and Barad -dyr would not have been destroyed but occupied. Saruman, failing to get possession of the R ing, would m the confusion and treacheries of the time have found in Mordor the missing links in his own researches into Ring -lore, and before long he would have made a Great Ring of his own with which to challenge the self -styled Ruler of Middle -earth. In that conflict both sides would have held hobbits in hatred and contempt: they would not long have survived even as slaves. Other arrangements could be devised according to the tastes or views of those who like allegory or topical reference . But I cordially dislike allegory in all its manifestations, and always have done so since I grew old and wary enough to detect its presence.",929,5,164,33.0,4.585365853658536,0.6707317073170732,0.013993541442411194,0.01829924650161464,0.23170731707317074,0.7682926829268293,246,46.643000000000015,18.485853658536584,59.33509163790279
